epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2559,2.94709,4.93569,1.19452,0,0,0,0,2.19905,4.56722,0.94623,0.000298113,0.000298113,0.000298113
2,94.1776,2.40562,3.46724,0.97242,0.70672,0.06495,0.09624,0.04315,2.34633,3.43447,0.94932,0.000595162,0.000595162,0.000595162
3,140.183,2.22113,2.63468,0.92701,0.4091,0.18806,0.11156,0.04741,2.38131,3.60971,0.95215,0.000886211,0.000886211,0.000886211
4,184.927,2.09576,2.29055,0.9047,0.44434,0.24429,0.14123,0.0551,2.46753,3.89968,0.95226,0.000882003,0.000882003,0.000882003
5,230.614,2.06393,2.05871,0.89809,0.31698,0.2798,0.17192,0.08711,1.94392,4.14503,0.89849,0.000873004,0.000873004,0.000873004
6,277.313,1.96727,1.96896,0.88307,0.30216,0.53221,0.2173,0.11154,1.92529,5.99465,0.89402,0.000864004,0.000864004,0.000864004
7,323.55,1.92556,1.83951,0.87887,0.4419,0.43337,0.28756,0.11869,2.25463,3.98792,0.91951,0.000855005,0.000855005,0.000855005
8,369.374,1.87824,1.72844,0.8753,0.33861,0.5053,0.36243,0.18771,2.01277,2.4998,0.90455,0.000846006,0.000846006,0.000846006
9,417.404,1.89732,1.67474,0.87309,0.33086,0.48524,0.37294,0.20225,1.80952,2.51681,0.87527,0.000837007,0.000837007,0.000837007
10,464.561,1.82493,1.60999,0.86804,0.374,0.54185,0.36622,0.176,2.05689,2.79986,0.89995,0.000828008,0.000828008,0.000828008
11,511.492,1.79108,1.56348,0.86588,0.46566,0.57942,0.45518,0.24311,1.89959,2.90696,0.88838,0.000819009,0.000819009,0.000819009
12,558.388,1.81216,1.52747,0.86595,0.4695,0.60811,0.48035,0.25934,1.88797,2.6302,0.88462,0.00081001,0.00081001,0.00081001
13,603.3,1.77746,1.51878,0.86336,0.39915,0.59269,0.43303,0.1818,2.16591,2.55905,0.90947,0.000801011,0.000801011,0.000801011
14,647.977,1.78106,1.47005,0.87157,0.45641,0.56108,0.50104,0.29332,1.76855,2.28069,0.87173,0.000792012,0.000792012,0.000792012
15,694.036,1.76398,1.4571,0.86221,0.34612,0.61741,0.45975,0.23315,1.9963,2.43583,0.89389,0.000783013,0.000783013,0.000783013
16,740.806,1.75058,1.42134,0.8564,0.44173,0.61732,0.5286,0.26132,1.97606,2.78572,0.88754,0.000774013,0.000774013,0.000774013
17,787.742,1.7651,1.39237,0.85616,0.50581,0.60297,0.51863,0.28283,1.78258,2.18191,0.87877,0.000765014,0.000765014,0.000765014
18,832.769,1.68644,1.35443,0.85188,0.52311,0.56726,0.54001,0.295,1.84003,2.25149,0.87714,0.000756015,0.000756015,0.000756015
19,877.138,1.67715,1.34192,0.85362,0.47344,0.63925,0.55844,0.30854,1.83174,2.27833,0.87794,0.000747016,0.000747016,0.000747016
20,921.509,1.66738,1.34403,0.84923,0.54374,0.63643,0.56428,0.32229,1.76433,2.49135,0.87135,0.000738017,0.000738017,0.000738017
21,966.217,1.69555,1.32974,0.84639,0.54322,0.62558,0.5863,0.31966,1.85321,2.35627,0.88429,0.000729018,0.000729018,0.000729018
22,1011.12,1.66745,1.31853,0.84864,0.43952,0.70969,0.53555,0.30235,1.74138,2.24344,0.86829,0.000720019,0.000720019,0.000720019
23,1058.24,1.66856,1.2945,0.84675,0.48977,0.68202,0.51077,0.27823,1.80708,2.51934,0.87848,0.00071102,0.00071102,0.00071102
24,1105,1.67165,1.31221,0.84639,0.46872,0.5446,0.52159,0.2673,1.9386,2.1936,0.89134,0.000702021,0.000702021,0.000702021
25,1151.91,1.63476,1.26582,0.85135,0.58182,0.63976,0.58402,0.29907,1.86735,2.40886,0.88283,0.000693022,0.000693022,0.000693022
26,1198.18,1.65869,1.30407,0.84644,0.58665,0.58922,0.57691,0.28691,1.92945,2.19168,0.88462,0.000684022,0.000684022,0.000684022
27,1244.91,1.64692,1.24636,0.84808,0.65267,0.61334,0.5849,0.34318,1.69075,2.19379,0.86725,0.000675023,0.000675023,0.000675023
28,1291.53,1.62835,1.2344,0.84418,0.57076,0.67509,0.58722,0.30799,2.01155,2.14268,0.89258,0.000666024,0.000666024,0.000666024
29,1337.83,1.61794,1.24545,0.84737,0.51784,0.6742,0.57637,0.29839,1.87357,1.88108,0.88381,0.000657025,0.000657025,0.000657025
30,1381.96,1.60286,1.23866,0.84329,0.5698,0.6491,0.62265,0.32956,1.79975,2.06642,0.87536,0.000648026,0.000648026,0.000648026
31,1426.66,1.58557,1.21047,0.83893,0.58437,0.65054,0.63401,0.34044,1.84222,2.24838,0.87511,0.000639027,0.000639027,0.000639027
32,1471.26,1.58833,1.20387,0.83705,0.65956,0.65548,0.62017,0.3449,1.78566,2.22417,0.87384,0.000630028,0.000630028,0.000630028
33,1515.63,1.60407,1.23543,0.8371,0.6904,0.63044,0.60223,0.33186,1.88046,2.41237,0.88268,0.000621029,0.000621029,0.000621029
34,1559.93,1.58524,1.2171,0.84192,0.64001,0.66501,0.62092,0.32162,1.90097,2.52326,0.88721,0.00061203,0.00061203,0.00061203
35,1604.4,1.605,1.21717,0.8456,0.67691,0.6438,0.63005,0.33351,1.81914,2.84093,0.87693,0.000603031,0.000603031,0.000603031
36,1650.7,1.60747,1.215,0.83941,0.59666,0.62005,0.60534,0.32276,1.81025,2.23449,0.87606,0.000594031,0.000594031,0.000594031
37,1697.79,1.54636,1.16052,0.84099,0.6605,0.63883,0.64777,0.32591,1.83504,1.95626,0.87819,0.000585032,0.000585032,0.000585032
38,1744.35,1.59226,1.1674,0.84663,0.72176,0.62743,0.65697,0.34377,1.89024,2.05649,0.87835,0.000576033,0.000576033,0.000576033
39,1790.45,1.5716,1.12952,0.84297,0.70755,0.67261,0.65426,0.37548,1.70736,2.1285,0.86721,0.000567034,0.000567034,0.000567034
40,1835.03,1.55682,1.11808,0.84317,0.67259,0.67149,0.65479,0.34719,1.78108,2.39255,0.87104,0.000558035,0.000558035,0.000558035
41,1879.81,1.55181,1.16257,0.83378,0.65956,0.69056,0.62162,0.32945,1.87808,2.27031,0.87629,0.000549036,0.000549036,0.000549036
42,1924.51,1.56999,1.13715,0.83314,0.67084,0.64436,0.63056,0.3574,1.7631,2.21472,0.86885,0.000540037,0.000540037,0.000540037
43,1969.29,1.57436,1.13919,0.83688,0.64747,0.66234,0.6357,0.3365,1.84388,2.10234,0.87894,0.000531038,0.000531038,0.000531038
