外邦図_地図記号,外邦図_画像X(px),外邦図_画像Y(py),外邦図_緯度,外邦図_経度,現存結果,正解データ_種別,正解データ_固有名,正解データ_緯度,正解データ_経度,距離差_メートル
shrine,3981.5671997070312,1210.6726989746094,33.31587979630852,130.3801426961381,True,神社,名称不明,33.31528682502431,130.37981584668157,72.59
shrine,4650.641372680664,2278.0907440185547,33.27504459117348,130.41067221558978,True,神社,名称不明,33.274531704507844,130.41030317544934,66.55
shrine,4769.171417236328,2138.5020599365234,33.280377707312105,130.41605390555614,True,神社,名称不明,33.27995493619707,130.41621744632724,49.41
shrine,5093.417045593262,4076.3636932373047,33.20644095521818,130.4305702670838,True,神社,名称不明,33.20621411661011,130.429774671793,78.2
shrine,6529.55126953125,3461.091881752014,33.229875148207455,130.49586974719307,True,神社,琴平神社,33.22910662882156,130.4962840676308,93.74
shrine,5060.017992019653,4251.530456542969,33.19977091762644,130.429004126607,True,神社,名称不明,33.19906038110378,130.42910009622577,79.51
shrine,5632.434761047363,2107.8067169189453,33.28154062574374,130.45525196682797,False,神社,名称不明,33.2813877701714,130.459316521883,378.21
shrine,1235.2086486816406,1868.012405395508,33.290752857596964,130.25506321704228,True,神社,名称不明,33.29049322789922,130.25440245866778,67.86
shrine,2707.9733424186707,4159.25666809082,33.2032914061031,130.32199799492415,True,神社,名称不明,33.20286006932773,130.32194584608075,48.21
shrine,2009.1814575195312,924.8384399414062,33.32685195835844,130.2902497666624,False,神社,名称不明,33.32485378870972,130.2941782772541,427.31
shrine,4443.790100097656,1702.4511260986328,33.297054113876285,130.40123291043597,True,神社,名称不明,33.29651854090476,130.40060296654698,83.51
shrine,5386.964813232422,4036.653198242188,33.20795184501025,130.44391274364597,True,神社,名称不明,33.20750228796718,130.44417276978493,55.53
shrine,6357.645294189453,3875.295669555664,33.21409186178447,130.4879966978945,True,神社,名称不明,33.21384861152542,130.48793166875836,27.72
shrine,4615.10011100769,4156.440727233887,33.203393500223704,130.4088124230367,True,神社,名称不明,33.2031630497718,130.40889769792554,26.83
shrine,4468.338562011719,972.1984252929688,33.32500502044467,130.40222478869327,True,神社,名称不明,33.325340121469615,130.40264680981633,54.09
shrine,4936.019744873047,2939.3777465820312,33.24978908495234,130.42361818613676,False,神社,名称不明,33.250291785773946,130.41823714971545,503.5
shrine,3876.820992469788,3571.853881835937,33.22567113825116,130.37537273091982,True,神社,名称不明,33.225072488335925,130.3747183084488,90.2
shrine,5673.253890991211,3473.58459854126,33.22940606998315,130.45702806936845,True,神社,名称不明,33.22889572730998,130.45647874474523,76.36
shrine,1217.0224609375,1979.1829223632812,33.28650105567651,130.25423907343773,True,神社,名称不明,33.286271337431,130.25375336408618,51.87
shrine,5715.730499267578,3300.301878929138,33.236013082645314,130.45898199820306,True,神社,名称不明,33.23560281935412,130.4590201377869,45.76
shrine,3436.527313232422,4153.9370193481445,33.20349262206096,130.35519173947583,True,神社,名称不明,33.202735510396586,130.35520389676097,84.19
shrine,5873.219772338867,3936.088638305665,33.211779394956174,130.46600941045205,True,神社,名称不明,33.21144859737173,130.4660890996456,37.52
shrine,5388.06298828125,4790.584838867188,33.17925660307472,130.44372349926175,True,神社,名称不明,33.178390376780406,130.4434311389923,100.09
shrine,1376.3548822402954,1090.8631286621094,33.320498776637855,130.26140775074987,True,神社,名称不明,33.32008108427885,130.2610878646374,55.14
shrine,5465.591163635254,1732.8124136924744,33.295879629257,130.44764879556945,True,神社,矢俣八幡宮,33.29553322050377,130.44767707586288,38.61
shrine,5628.241851806641,2108.139892578125,33.281527944511225,130.4550617082919,False,神社,名称不明,33.2813877701714,130.459316521883,395.82
shrine,3832.2730712890634,2100.931640625,33.28182373570036,130.37345414503957,False,神社,名称不明,33.28066462920388,130.37120461463925,245.64
shrine,3220.536865234375,2309.4609813690186,33.27385954189418,130.3456143656719,False,神社,名称不明,33.272602042573126,130.33357322216037,1128.12
shrine,3522.6927032470703,4652.7056884765625,33.1845052855484,130.3589523054049,True,神社,名称不明,33.183952015711384,130.3589630126953,61.53
shrine,4563.365814208984,1235.6712493896484,33.31491474214662,130.4065981554785,True,神社,名称不明,33.31460094870469,130.40714755654332,61.84
shrine,3137.932518005371,3659.131378173828,33.222347150258344,130.34171547472906,True,神社,名称不明,33.2218111603479,130.3417190909386,59.6
shrine,1780.9771575927734,2348.569549560547,33.27237582295931,130.27999107735403,False,神社,名称不明,33.272421520013154,130.2875880897045,706.29
shrine,5890.475112915039,3004.7611236572266,33.247285277495884,130.4669444686388,True,神社,名称不明,33.24697083270341,130.46702384948728,35.74
shrine,3605.312774658203,2968.2570877075195,33.24869715938688,130.36310305609535,True,神社,名称不明,33.24770659002712,130.36244720220566,125.9
shrine,4156.665313720703,2058.162506103516,33.28345528401461,130.38820767794112,True,神社,名称不明,33.283135616389686,130.38714766502378,104.75
shrine,5768.00146484375,4225.812927246094,33.20074666907957,130.4611589158364,True,神社,名称不明,33.200533817877414,130.46147301793096,37.61
