P29_003,P29_004
"16001",北海道教育大学附属札幌小学校
"16001",北海道教育大学附属函館小学校
"16001",北海道教育大学附属旭川小学校
"16001",札幌市立中央小学校
"16001",札幌市立山鼻小学校
"16001",札幌市立幌西小学校
"16001",札幌市立桑園小学校
"16001",札幌市立幌南小学校
"16001",札幌市立円山小学校
"16001",札幌市立二条小学校
"16001",札幌市立日新小学校
"16001",札幌市立緑丘小学校
"16001",札幌市立盤渓小学校
"16001",札幌市立宮の森小学校
"16001",札幌市立伏見小学校
"16001",札幌市立大倉山小学校
"16001",札幌市立三角山小学校
"16001",札幌市立山鼻南小学校
"16001",札幌市立資生館小学校
"16001",札幌市立北九条小学校
"16001",札幌市立幌北小学校
"16001",札幌市立白楊小学校
"16001",札幌市立新琴似小学校
"16001",札幌市立屯田小学校
"16001",札幌市立新川小学校
"16001",札幌市立篠路小学校
"16001",札幌市立茨戸小学校
"16001",札幌市立鴻城小学校
"16001",札幌市立和光小学校
"16001",札幌市立光陽小学校
"16001",札幌市立新陽小学校
"16001",札幌市立新琴似北小学校
"16001",札幌市立新川中央小学校
"16001",札幌市立新琴似西小学校
"16001",札幌市立太平小学校
"16001",札幌市立新琴似南小学校
"16001",札幌市立篠路西小学校
"16001",札幌市立新光小学校
"16001",札幌市立拓北小学校
"16001",札幌市立屯田南小学校
"16001",札幌市立北陽小学校
"16001",札幌市立新琴似緑小学校
"16001",札幌市立太平南小学校
"16001",札幌市立あいの里西小学校
"16001",札幌市立屯田西小学校
"16001",札幌市立あいの里東小学校
"16001",札幌市立百合が原小学校
"16001",札幌市立屯田北小学校
"16001",札幌市立幌北小学校ひまわり分校
"16001",札幌市立苗穂小学校
"16001",札幌市立北光小学校
"16001",札幌市立美香保小学校
"16001",札幌市立札幌小学校
"16001",札幌市立丘珠小学校
"16001",札幌市立札苗小学校
"16001",札幌市立栄小学校
"16001",札幌市立中沼小学校
"16001",札幌市立北園小学校
"16001",札幌市立元町小学校
"16001",札幌市立北小学校
"16001",札幌市立明園小学校
"16001",札幌市立本町小学校
"16001",札幌市立栄西小学校
"16001",札幌市立栄北小学校
"16001",札幌市立元町北小学校
"16001",札幌市立栄東小学校
"16001",札幌市立札苗北小学校
"16001",札幌市立東光小学校
"16001",札幌市立栄南小学校
"16001",札幌市立伏古小学校
"16001",札幌市立開成小学校
"16001",札幌市立栄町小学校
"16001",札幌市立栄緑小学校
